,collectionCode,thingType,tenant,index,entity_key_name,hash
138,/MOJIXD/CONTENT,CONTENT,MOJIXD,791,21b8113c43037af83558ae0816f5f90a,hash
139,/CHIP/TAGIT_ZPL,TAGIT_ZPL,CHIP,217,21f7514f985ddda40ad16a54ca0f1505,hash
140,/FALAPE/EPCISEVENT,EPCISEVENT,FALAPE,474,220050e3951d37a6a0d42499cd769126,hash
141,/PE/ASSOCIATIONCONFIGURATION,ASSOCIATIONCONFIGURATION,PE,933,222123b0aa90a926998e4eb33350d06d,hash
142,/MOJIXB/DISPOSITION,DISPOSITION,MOJIXB,663,2226014ea991a3b3e7a07d7f829e69bf,hash
143,/PERN/LOOKUPCONFIGURATION,LOOKUPCONFIGURATION,PERN,957,228a1a1bed720b2e306df1d6089805fa,hash
144,/CENT/TAGIT_ZPL,TAGIT_ZPL,CENT,160,22cbe2d8695c2e8d03a2235a7ff3cebc,hash
145,/MOJIXD/SALES,SALES,MOJIXD,795,23660940fa8e5b2a1e25c926a1acd623,hash
146,/TOSCA/SETTINGEXTENDED,SETTINGEXTENDED,TOSCA,1118,23b1d731be4cef358ff1a68635dc435f,hash
147,/CELINE/DAILYSTATS,DAILYSTATS,CELINE,75,24651fd99630a6847cbf07a84551079a,hash
148,/TOSCA/TRANSFERS,TRANSFERS,TOSCA,1115,247f2f06d028246618e964c1d6dee5ce,hash
149,/MOJIXC/PRODUCT,PRODUCT,MOJIXC,717,25269991a8498e5f4829ff48ecc87f66,hash
150,/CELINE/DEPARTMENTZONEMAPPING,DEPARTMENTZONEMAPPING,CELINE,55,2550c202625aa5a8f315e535b11502c0,hash
151,/FALAPE/ITEM,ITEM,FALAPE,440,25734d2e3290dc12beef5a67c9fea290,hash
152,/PE/DEFECT,DEFECT,PE,930,2587de99b2359e922fdaeb0d87173e82,hash
153,/PE/SIMULATORCONFIGURATION,SIMULATORCONFIGURATION,PE,909,25c7b7006baf90fbbacdf43eaa1512fd,hash
154,/CHIP/DD_SHELFSTATUS,DD_SHELFSTATUS,CHIP,186,262f5e6bc140f7f440a4964b3cf45148,hash
155,/FALABELLAPE/DISCREPANCYRULES,DISCREPANCYRULES,FALABELLAPE,348,265774176f966bf0648d0763913415f4,hash
156,/MOJIXQA/CATEGORY,CATEGORY,MOJIXQA,865,268dc8dc454c9ad651a526f7a5477574,hash
157,/MOJIXD/DISCREPANCY,DISCREPANCY,MOJIXD,777,268e37a76f346c5cbc5a2ee2cc138611,hash
158,/FALAPE/LOCATION,LOCATION,FALAPE,464,26e2c6de7ceee26f97b4bf09bde83660,hash
159,/MOJIXQA/DISPOSITION,DISPOSITION,MOJIXQA,819,270c97f84f0ef9904e6618fd251f32c3,hash
160,/MOJIXC/DISPOSITION,DISPOSITION,MOJIXC,715,2723eee6db276bbf6eedc36a9a750160,hash
161,/TOSCA/CONTENT,CONTENT,TOSCA,1109,27664d9fc085cc94fd8c4a6453a8bc42,hash
162,/PE/WEBVIEW_UPDATEINVENTORY,WEBVIEW_UPDATEINVENTORY,PE,923,2770934a65fe7c5ac82341bd1124d3e6,hash
163,/MOJIXC/RAWEPCISEVENT,RAWEPCISEVENT,MOJIXC,759,27cfc9d2543c337c48218de0311b7e3c,hash
164,/FALAPE/DISPOSITION,DISPOSITION,FALAPE,439,280b127622eab1b22858574a3921c1cc,hash
165,/CHIP/PRODUCT,PRODUCT,CHIP,181,2830af2530823de07f2d410000bad883,hash
